URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CONTENT_LENGTH,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,Result
B0_642,29,6,7159,23,18,0
B0_726,29,6,NA,29,30,0
B0_887,29,6,388,0,0,0
B0_894,29,6,199,0,0,0
B0_920,29,8,324,0,0,0
B0_942,29,6,NA,0,0,0
B0_978,29,6,NA,0,0,0
M0_112,30,8,177,9,9,1
B0_1052,30,6,NA,0,0,0
B0_1388,30,6,199,0,0,0
B0_160,30,7,NA,18,17,0
B0_169,30,6,NA,76,69,0
B0_209,30,6,NA,28,27,0
B0_2097,30,6,NA,18,19,0
B0_2206,30,6,NA,6,9,0
B0_2282,30,6,14703,2,4,0
B0_330,30,6,8751,19,17,0
B0_348,30,6,324,92,100,0
B0_369,30,7,NA,37,37,0
B0_560,30,6,NA,39,41,0
B0_639,30,6,NA,88,44,0
B0_711,30,7,350,27,26,0
B0_73,30,7,NA,52,48,0
B0_824,30,8,NA,0,0,0
B0_891,30,6,NA,0,0,0
B0_931,30,7,NA,0,0,0
M0_73,31,7,324,11,11,1
B0_1028,31,8,604,0,0,0
B0_1114,31,7,287,0,0,0
B0_1127,31,7,NA,0,0,0
B0_1241,31,8,65815,0,0,0
B0_140,31,6,NA,77,70,0
B0_2158,31,6,NA,9,12,0
B0_2278,31,7,4075,4,6,0
B0_263,31,8,287,9,9,0
B0_501,31,7,NA,32,32,0
B0_504,31,7,5132,33,33,0
B0_597,31,6,324,29,28,0
B0_65,31,6,324,22,23,0
B0_658,31,6,NA,29,27,0
B0_698,31,8,324,105,113,0
B0_705,31,6,NA,16,16,0
B0_761,31,7,NA,69,64,0
B0_850,31,7,22004,0,0,0
B0_945,31,6,NA,0,0,0
B0_992,31,7,345,0,0,0
M0_136,32,11,643,30,26,1
M0_140,32,9,637,20,16,1
B0_1175,32,8,NA,0,0,0
B0_1181,32,6,34,0,0,0
B0_1222,32,8,NA,0,0,0
B0_128,32,9,420762,19,26,0
B0_1341,32,8,1399,0,0,0
B0_1372,32,6,NA,0,0,0
B0_1381,32,7,NA,0,0,0
B0_14,32,7,NA,20,20,0
B0_165,32,7,NA,61,52,0
B0_176,32,8,NA,28,29,0
B0_2015,32,6,NA,4,5,0
B0_2095,32,8,328,5,7,0
B0_218,32,7,NA,102,121,0
B0_2229,32,8,324,11,15,0
B0_2271,32,6,199,6,7,0
B0_254,32,8,334,10,13,0
B0_303,32,7,287,73,70,0
B0_40,32,7,20212,49,28,0
B0_400,32,8,NA,40,40,0
B0_437,32,8,NA,28,25,0
B0_491,32,7,NA,11,12,0
B0_507,32,7,11827,42,35,0
B0_582,32,8,1108,17,16,0
B0_937,32,7,324,0,0,0
M0_122,33,11,646,17,14,1
M0_125,33,9,637,31,26,1
M0_138,33,9,640,24,20,1
M0_142,33,9,643,4,6,1
M0_59,33,9,NA,18,15,1
M0_96,33,11,NA,12,11,1
B0_1068,33,7,NA,0,0,0
B0_1101,33,8,NA,0,0,0
B0_1141,33,8,NA,0,0,0
B0_1190,33,6,NA,0,0,0
B0_1239,33,6,NA,0,0,0
B0_1288,33,6,19890,0,0,0
B0_1350,33,8,NA,0,0,0
B0_1390,33,9,18302,0,0,0
B0_1419,33,7,318,0,0,0
B0_163,33,8,NA,56,51,0
B0_2100,33,7,NA,4,5,0
B0_2126,33,6,NA,7,6,0
B0_215,33,8,NA,40,32,0
B0_2155,33,7,60722,4,6,0
B0_2205,33,6,NA,8,9,0
B0_2219,33,6,NA,5,7,0
B0_2289,33,8,NA,10,6,0
B0_312,33,6,39,28,30,0
B0_570,33,8,1371,27,27,0
B0_652,33,7,NA,111,130,0
B0_783,33,6,NA,0,0,0
M0_130,34,11,655,35,27,1
M0_159,34,11,649,21,18,1
M0_166,34,9,NA,32,31,1
M0_180,34,9,214,11,14,1
B0_1036,34,6,18298,0,0,0
B0_1054,34,7,324,0,0,0
B0_1087,34,7,1819,0,0,0
B0_110,34,7,1819,41,40,0
B0_1207,34,8,NA,0,0,0
B0_1337,34,6,NA,0,0,0
B0_1342,34,7,NA,0,0,0
B0_1382,34,7,NA,0,0,0
B0_2098,34,7,6474,6,9,0
B0_2104,34,7,NA,8,10,0
B0_2124,34,6,NA,34,7,0
B0_2125,34,7,NA,3,5,0
B0_2142,34,9,1486,5,5,0
B0_2221,34,9,10892,3,4,0
B0_2320,34,9,NA,4,5,0
B0_322,34,8,7255,23,26,0
B0_460,34,7,6608,46,45,0
B0_493,34,6,NA,42,42,0
B0_586,34,9,111,23,24,0
B0_688,34,6,NA,31,33,0
B0_746,34,8,996,11,10,0
B0_760,34,7,1501,29,29,0
B0_864,34,7,NA,0,0,0
B0_897,34,7,NA,0,0,0
B0_961,34,6,324,0,0,0
M0_107,35,9,7314,45,45,1
M0_108,35,9,7314,45,45,1
M0_110,35,11,NA,20,21,1
M0_123,35,11,652,21,17,1
M0_124,35,11,652,29,26,1
M0_127,35,9,646,16,12,1
M0_135,35,11,652,25,20,1
M0_137,35,11,652,24,22,1
M0_148,35,11,652,25,22,1
M0_152,35,11,652,31,25,1
M0_165,35,8,NA,21,23,1
B0_1029,35,9,NA,0,0,0
B0_1148,35,8,4685,0,0,0
B0_1299,35,8,NA,0,0,0
B0_144,35,6,324,24,25,0
B0_183,35,8,NA,25,25,0
B0_194,35,9,324,53,61,0
B0_2026,35,9,39362,4,4,0
B0_2067,35,7,NA,3,4,0
B0_2087,35,9,NA,4,6,0
B0_2144,35,10,NA,10,12,0
B0_2156,35,7,14462,8,5,0
B0_2270,35,9,NA,4,6,0
B0_2295,35,8,NA,21,24,0
B0_2319,35,7,289,5,6,0
B0_308,35,6,324,29,27,0
B0_337,35,7,38115,49,46,0
B0_385,35,8,NA,43,42,0
B0_461,35,9,NA,16,17,0
B0_573,35,9,NA,56,51,0
B0_717,35,7,8813,45,42,0
B0_739,35,8,1002,36,39,0
B0_807,35,7,16875,0,0,0
B0_82,35,8,NA,31,33,0
B0_9,35,7,330,18,23,0
B0_965,35,6,NA,0,0,0
B0_971,35,8,1002,0,0,0
M0_121,36,10,655,228,216,1
M0_129,36,11,655,11,10,1
M0_131,36,11,655,23,17,1
M0_133,36,9,646,15,12,1
M0_134,36,11,655,29,23,1
M0_157,36,11,655,27,23,1
M0_169,36,8,NA,8,10,1
B0_1042,36,8,10133,0,0,0
B0_1049,36,8,324,0,0,0
B0_1277,36,7,NA,0,0,0
B0_1306,36,6,1108,0,0,0
B0_1359,36,7,324,0,0,0
B0_1363,36,7,NA,0,0,0
B0_197,36,8,NA,20,27,0
B0_200,36,8,NA,16,19,0
B0_2101,36,7,NA,3,4,0
B0_2250,36,8,NA,2,3,0
B0_2260,36,8,NA,5,7,0
B0_2290,36,8,NA,5,5,0
B0_290,36,8,NA,22,19,0
B0_305,36,7,19879,65,79,0
B0_366,36,8,NA,91,96,0
B0_444,36,7,324,10,11,0
B0_445,36,8,NA,28,19,0
B0_474,36,6,210,5,6,0
B0_487,36,7,3326,16,18,0
B0_60,36,7,293,16,13,0
B0_69,36,7,231,9,11,0
B0_701,36,7,11418,21,21,0
B0_809,36,8,NA,0,0,0
B0_952,36,8,NA,0,0,0
B0_990,36,7,11692,0,0,0
M0_101,37,10,NA,51,53,1
M0_115,37,9,296,4,5,1
M0_16,37,9,162,3,4,1
M0_176,37,11,NA,50,50,1
M0_179,37,10,NA,16,14,1
M0_60,37,9,188,21,13,1
B0_1008,37,7,NA,0,0,0
B0_1167,37,7,6062,0,0,0
B0_1196,37,7,219,0,0,0
B0_1204,37,9,1002,0,0,0
B0_1219,37,10,14109,0,0,0
B0_1316,37,8,324,0,0,0
B0_1398,37,9,NA,0,0,0
B0_1402,37,8,NA,0,0,0
B0_2056,37,9,8022,23,11,0
B0_2093,37,9,32441,11,14,0
B0_2116,37,7,7891,6,8,0
B0_2143,37,8,NA,4,5,0
B0_2230,37,8,1840,8,11,0
B0_2277,37,8,12768,6,6,0
B0_361,37,7,NA,6,6,0
B0_386,37,9,NA,37,35,0
B0_450,37,7,NA,33,35,0
B0_457,37,8,NA,48,48,0
B0_476,37,8,4297,22,18,0
B0_59,37,9,NA,17,15,0
B0_593,37,9,NA,23,31,0
B0_646,37,8,135444,70,88,0
B0_677,37,9,616,26,28,0
B0_777,37,8,6944,0,0,0
B0_946,37,8,1819,0,0,0
B0_947,37,7,7783,0,0,0
M0_120,38,10,337,14,5,1
M0_151,38,11,661,30,27,1
M0_42,38,9,2516,21,15,1
M0_43,38,9,2516,25,25,1
M0_90,38,10,215,9,9,1
B0_1019,38,9,4397,0,0,0
B0_1030,38,8,1819,0,0,0
B0_109,38,8,NA,20,20,0
B0_1100,38,8,NA,0,0,0
B0_1224,38,8,39740,0,0,0
B0_127,38,9,68067,23,23,0
B0_1289,38,10,40299,0,0,0
B0_1329,38,9,NA,0,0,0
B0_1349,38,8,NA,0,0,0
B0_1365,38,9,NA,0,0,0
B0_1387,38,8,345,0,0,0
B0_1403,38,7,324,0,0,0
B0_1404,38,9,3916,0,0,0
B0_184,38,8,1819,47,45,0
B0_2011,38,7,34,7,9,0
B0_2118,38,8,NA,13,16,0
B0_2138,38,7,1172,4,4,0
B0_2213,38,6,324,6,8,0
B0_2274,38,8,NA,3,5,0
B0_246,38,7,24087,12,9,0
B0_295,38,9,618,54,42,0
B0_34,38,8,6746,41,31,0
B0_360,38,8,324,29,24,0
B0_37,38,7,324,15,13,0
B0_41,38,6,9555,27,21,0
B0_428,38,6,NA,66,77,0
B0_441,38,8,1840,27,28,0
B0_464,38,10,4929,20,20,0
B0_496,38,8,12400,22,20,0
B0_536,38,9,42952,41,53,0
B0_624,38,7,NA,24,24,0
B0_721,38,7,NA,50,40,0
B0_737,38,9,NA,294,431,0
B0_813,38,8,NA,0,0,0
B0_90,38,7,7868,50,42,0
B0_914,38,9,220,0,0,0
B0_918,38,7,7797,0,0,0
B0_927,38,9,NA,0,0,0
M0_141,39,13,637,4,6,1
M0_144,39,11,640,15,12,1
M0_145,39,11,640,32,25,1
M0_150,39,11,661,26,26,1
M0_44,39,9,2516,26,23,1
M0_91,39,10,216,12,11,1
B0_1009,39,8,NA,0,0,0
B0_1050,39,7,256306,0,0,0
B0_1061,39,8,NA,0,0,0
B0_1065,39,9,NA,0,0,0
B0_1079,39,9,NA,0,0,0
B0_1084,39,9,NA,0,0,0
B0_1099,39,9,NA,0,0,0
B0_1108,39,9,NA,0,0,0
B0_1161,39,8,404,0,0,0
B0_1174,39,9,NA,0,0,0
B0_1176,39,8,NA,0,0,0
B0_1178,39,8,NA,0,0,0
B0_1198,39,7,7472,0,0,0
B0_1210,39,8,3063,0,0,0
B0_1234,39,8,NA,0,0,0
B0_125,39,6,NA,36,37,0
B0_1252,39,8,NA,0,0,0
B0_1279,39,7,12985,0,0,0
B0_1285,39,8,NA,0,0,0
B0_1300,39,8,9352,0,0,0
B0_1338,39,8,NA,0,0,0
B0_1344,39,7,NA,0,0,0
B0_138,39,8,NA,71,68,0
B0_1380,39,8,NA,0,0,0
B0_1384,39,10,NA,0,0,0
B0_155,39,8,NA,12,11,0
B0_19,39,8,NA,22,20,0
B0_195,39,8,NA,72,68,0
B0_2004,39,8,NA,2,4,0
B0_2052,39,8,NA,16,4,0
B0_2079,39,8,NA,34,22,0
B0_2103,39,8,NA,6,3,0
B0_2121,39,8,NA,5,7,0
B0_2136,39,8,9050,22,18,0
B0_2160,39,8,NA,22,11,0
B0_2179,39,8,NA,2,4,0
B0_2193,39,9,620,3,5,0
B0_2202,39,8,NA,18,16,0
B0_2241,39,9,889,10,7,0
B0_2244,39,9,1502,8,12,0
B0_2269,39,9,NA,4,5,0
B0_2284,39,10,NA,3,4,0
B0_2285,39,10,NA,12,4,0
B0_2291,39,7,340,11,10,0
B0_2297,39,9,NA,9,11,0
B0_233,39,9,NA,33,32,0
B0_253,39,8,1002,14,20,0
B0_273,39,8,NA,29,26,0
B0_345,39,7,NA,30,29,0
B0_356,39,9,NA,73,70,0
B0_389,39,7,431,11,12,0
B0_392,39,9,1500,46,46,0
B0_393,39,8,NA,52,68,0
B0_471,39,9,1819,48,47,0
B0_480,39,6,NA,79,73,0
B0_50,39,8,324,14,16,0
B0_523,39,8,NA,30,32,0
B0_606,39,9,NA,27,26,0
B0_61,39,8,NA,81,80,0
B0_631,39,9,NA,74,71,0
B0_632,39,10,8507,17,18,0
B0_644,39,9,NA,70,65,0
B0_666,39,10,NA,65,64,0
B0_710,39,9,121211,38,38,0
B0_742,39,8,NA,69,66,0
B0_795,39,9,NA,0,0,0
B0_820,39,8,NA,0,0,0
B0_830,39,8,NA,0,0,0
B0_839,39,8,NA,0,0,0
B0_841,39,8,NA,0,0,0
B0_85,39,8,NA,78,77,0
B0_854,39,8,NA,0,0,0
B0_865,39,9,58,0,0,0
B0_870,39,8,1007,0,0,0
B0_876,39,7,NA,0,0,0
B0_900,39,8,NA,0,0,0
B0_902,39,8,NA,0,0,0
B0_915,39,9,NA,0,0,0
B0_948,39,8,NA,0,0,0
B0_988,39,8,NA,0,0,0
M0_126,40,13,637,16,12,1
M0_139,40,13,640,18,14,1
M0_143,40,13,643,15,12,1
M0_158,40,11,667,29,25,1
M0_160,40,11,667,25,22,1
M0_39,40,10,3016,17,18,1
M0_45,40,9,2516,25,22,1
B0_1011,40,9,NA,0,0,0
B0_1017,40,9,NA,0,0,0
B0_1033,40,7,7283,0,0,0
B0_1075,40,10,12513,0,0,0
B0_1116,40,7,13183,0,0,0
B0_1142,40,7,6222,0,0,0
B0_116,40,9,7942,12,14,0
B0_1195,40,7,NA,0,0,0
B0_1228,40,9,NA,0,0,0
B0_1244,40,8,NA,0,0,0
B0_1311,40,9,NA,0,0,0
B0_1383,40,12,3013,0,0,0
B0_1415,40,11,NA,0,0,0
B0_2010,40,10,4692,7,5,0
B0_2034,40,7,9433,3,5,0
B0_2068,40,9,NA,14,4,0
B0_2148,40,9,324,3,5,0
B0_222,40,8,11590,162,206,0
B0_2275,40,9,230,5,4,0
B0_2323,40,6,NA,12,10,0
B0_251,40,7,618,26,27,0
B0_309,40,8,NA,19,20,0
B0_349,40,9,NA,20,26,0
B0_353,40,9,622,14,13,0
B0_376,40,9,NA,23,25,0
B0_391,40,6,324,24,26,0
B0_409,40,7,NA,84,88,0
B0_416,40,6,1108,19,19,0
B0_442,40,9,NA,30,36,0
B0_520,40,9,63279,60,59,0
B0_552,40,8,15240,12,12,0
B0_562,40,9,65993,28,29,0
B0_590,40,7,1819,56,54,0
B0_685,40,8,NA,20,23,0
B0_697,40,8,15363,24,27,0
B0_703,40,6,411,20,19,0
B0_765,40,7,38119,44,37,0
B0_803,40,9,NA,0,0,0
B0_863,40,9,NA,0,0,0
B0_976,40,7,6498,0,0,0
B0_980,40,9,622,0,0,0
M0_116,41,13,643,13,12,1
M0_156,41,11,670,21,19,1
M0_52,41,10,2516,30,26,1
M0_57,41,11,27103,26,28,1
M0_92,41,10,218,11,10,1
B0_107,41,6,318,14,13,0
B0_1283,41,8,NA,0,0,0
B0_1296,41,8,65473,0,0,0
B0_1373,41,9,NA,0,0,0
B0_1378,41,8,324,0,0,0
B0_1425,41,10,NA,0,0,0
B0_192,41,9,NA,0,2,0
B0_2019,41,9,NA,3,4,0
B0_2135,41,9,NA,7,7,0
B0_2299,41,9,7065,6,8,0
B0_238,41,7,10588,22,24,0
B0_26,41,8,NA,12,12,0
B0_275,41,9,NA,42,37,0
B0_30,41,7,281,22,23,0
B0_364,41,8,324,14,16,0
B0_373,41,8,NA,40,38,0
B0_390,41,8,NA,30,35,0
B0_427,41,10,13,8,5,0
B0_434,41,8,NA,44,53,0
B0_713,41,8,NA,1,2,0
B0_731,41,10,NA,16,16,0
B0_758,41,9,NA,110,101,0
B0_829,41,10,9817,0,0,0
B0_855,41,9,NA,0,0,0
B0_910,41,9,NA,0,0,0
M0_128,42,13,646,11,10,1
M0_154,42,11,673,24,21,1
M0_155,42,11,673,24,21,1
M0_40,42,10,NA,17,20,1
M0_47,42,10,2516,30,25,1
M0_48,42,10,2516,31,28,1
M0_50,42,10,2516,29,24,1
M0_53,42,10,2516,31,28,1
M1_3,42,8,895,19,17,1
B0_104,42,7,NA,57,55,0
B0_1131,42,8,NA,0,0,0
B0_1139,42,7,NA,0,0,0
B0_1236,42,10,NA,0,0,0
B0_1257,42,8,7289,0,0,0
B0_1260,42,8,4974,0,0,0
B0_1266,42,10,NA,0,0,0
B0_1268,42,9,4691,0,0,0
B0_1303,42,8,NA,0,0,0
B0_1351,42,11,NA,0,0,0
B0_1375,42,10,1819,0,0,0
B0_1422,42,9,1505,0,0,0
B0_146,42,9,7509,13,12,0
B0_2112,42,9,5127,4,5,0
B0_2172,42,7,NA,6,8,0
B0_2185,42,9,NA,6,7,0
B0_2218,42,8,NA,5,6,0
B0_2231,42,9,324,8,6,0
B0_291,42,8,NA,37,35,0
B0_314,42,8,2766,41,34,0
B0_328,42,8,NA,32,36,0
B0_33,42,9,NA,17,18,0
B0_363,42,7,NA,23,26,0
B0_510,42,9,10561,19,21,0
B0_518,42,9,8769,7,6,0
B0_527,42,7,12608,77,68,0
B0_575,42,9,324,33,27,0
B0_603,42,8,94,16,8,0
B0_818,42,8,NA,0,0,0
B0_840,42,8,324,0,0,0
B0_92,42,8,NA,26,32,0
B0_939,42,9,NA,0,0,0
B0_963,42,7,497,0,0,0
B0_985,42,7,NA,0,0,0
M0_132,43,13,646,15,12,1
M0_153,43,11,673,24,22,1
M0_54,43,10,2516,29,27,1
M0_64,43,11,NA,12,12,1
M0_9,43,10,NA,10,9,1
M0_95,43,10,7550,13,13,1
M4_75,43,10,NA,0,2,1
B0_1005,43,8,324,0,0,0
B0_1010,43,9,NA,0,0,0
B0_1112,43,9,NA,0,0,0
B0_1177,43,9,NA,0,0,0
B0_120,43,8,236,18,19,0
B0_1335,43,8,NA,0,0,0
B0_1420,43,9,NA,0,0,0
B0_180,43,8,NA,21,21,0
B0_2008,43,7,NA,15,4,0
B0_2036,43,9,NA,29,12,0
B0_206,43,7,324,43,39,0
B0_2070,43,8,13089,4,7,0
B0_2188,43,9,19724,4,6,0
B0_2194,43,9,NA,9,8,0
B0_236,43,9,NA,37,37,0
B0_242,43,9,389,87,107,0
B0_271,43,8,NA,86,71,0
B0_324,43,9,6744,28,31,0
B0_331,43,12,5653,12,12,0
B0_354,43,8,324,31,17,0
B0_43,43,9,NA,22,21,0
B0_553,43,10,NA,27,24,0
B0_612,43,7,324,23,20,0
B0_667,43,7,497,51,50,0
B0_759,43,7,20592,69,71,0
B0_782,43,10,NA,0,0,0
B0_885,43,9,NA,0,0,0
B0_989,43,10,4816,0,0,0
M0_49,44,10,2516,28,24,1
B0_1055,44,10,8219,0,0,0
B0_1097,44,8,NA,0,0,0
B0_1111,44,11,334,0,0,0
B0_1180,44,9,634,0,0,0
B0_1213,44,9,NA,0,0,0
B0_1230,44,9,NA,0,0,0
B0_1405,44,7,324,0,0,0
B0_190,44,8,NA,23,23,0
B0_2055,44,10,NA,17,13,0
B0_2090,44,9,1511,6,8,0
B0_2139,44,11,1819,5,7,0
B0_2140,44,10,45958,6,8,0
B0_2151,44,9,NA,39,5,0
B0_2257,44,7,NA,14,15,0
B0_226,44,8,11,42,42,0
B0_235,44,9,324,32,33,0
B0_239,44,9,NA,48,48,0
B0_277,44,9,NA,45,41,0
B0_289,44,9,44446,159,176,0
B0_311,44,9,338,11,12,0
B0_316,44,8,345,14,16,0
B0_408,44,9,674,21,20,0
B0_436,44,9,NA,33,25,0
B0_49,44,8,25825,79,79,0
B0_51,44,8,NA,27,25,0
B0_550,44,9,NA,8,8,0
B0_557,44,9,1501,61,53,0
B0_616,44,8,10198,23,23,0
B0_617,44,10,360,20,23,0
B0_633,44,9,16525,14,15,0
B0_641,44,8,NA,22,21,0
B0_733,44,9,6746,24,23,0
B0_832,44,9,NA,0,0,0
B0_833,44,8,324,0,0,0
B0_993,44,8,324,0,0,0
M1_2,45,10,NA,6,6,1
B0_10,45,8,326,11,10,0
B0_1062,45,9,10273,0,0,0
B0_1083,45,9,6748,0,0,0
B0_1085,45,9,NA,0,0,0
B0_1140,45,8,1245,0,0,0
B0_1192,45,10,6264,0,0,0
B0_1232,45,10,1245,0,0,0
B0_1238,45,9,NA,0,0,0
B0_1262,45,7,185,0,0,0
B0_1272,45,7,4764,0,0,0
B0_1318,45,8,324,0,0,0
B0_1343,45,8,365,0,0,0
B0_1411,45,11,NA,0,0,0
B0_158,45,11,3042,18,17,0
B0_2204,45,8,41547,8,6,0
B0_2259,45,11,NA,10,12,0
B0_266,45,9,39,6,7,0
B0_288,45,9,44447,187,263,0
B0_315,45,9,NA,55,53,0
B0_317,45,8,226,46,46,0
B0_406,45,10,217,30,19,0
B0_467,45,10,12368,36,34,0
B0_485,45,9,NA,69,56,0
B0_509,45,9,4695,46,54,0
B0_541,45,10,636,54,51,0
B0_585,45,8,191,3,3,0
B0_608,45,9,23771,23,25,0
B0_683,45,10,14947,23,22,0
B0_686,45,9,NA,77,65,0
B0_691,45,9,324,36,33,0
B0_724,45,10,NA,42,39,0
B0_725,45,8,NA,34,35,0
B0_730,45,9,NA,12,11,0
B0_74,45,9,NA,19,23,0
B0_766,45,7,9194,14,11,0
B0_798,45,10,6560,0,0,0
B0_847,45,10,NA,0,0,0
B0_871,45,9,6746,0,0,0
B0_895,45,9,NA,0,0,0
B0_919,45,8,NA,0,0,0
M0_117,46,11,649,15,14,1
M0_82,46,12,221,9,10,1
B0_112,46,9,NA,75,76,0
B0_1143,46,11,NA,0,0,0
B0_1201,46,9,231,0,0,0
B0_1220,46,9,NA,0,0,0
B0_1221,46,9,11,0,0,0
B0_123,46,11,4698,54,54,0
B0_124,46,9,2393,35,35,0
B0_1270,46,10,NA,0,0,0
B0_1314,46,8,21,0,0,0
B0_1333,46,9,NA,0,0,0
B0_1397,46,9,NA,0,0,0
B0_2016,46,8,22479,7,8,0
B0_2153,46,10,344,5,8,0
B0_2222,46,10,NA,20,12,0
B0_2253,46,11,NA,7,8,0
B0_2302,46,9,NA,6,8,0
B0_234,46,9,17810,58,73,0
B0_237,46,8,193,11,10,0
B0_270,46,11,630,48,52,0
B0_29,46,10,NA,28,30,0
B0_292,46,9,7758,131,144,0
B0_304,46,8,2886,78,96,0
B0_306,46,10,1510,24,24,0
B0_439,46,8,NA,19,18,0
B0_477,46,12,1819,80,80,0
B0_506,46,10,NA,28,27,0
